Offence group,Code,Community safety partnership,Police force area,Crime Severity Score Apr 15 - Mar 16,Crime Severity Score Apr 16 - Mar 17,Crime Severity Score Apr 17 - Mar 18,Crime Severity Score Apr 18 - Mar 19,Crime Severity Score Apr 19 - Mar 20,Crime Severity Score Apr 20 - Mar 21,"Offence rate per 1,000 population Apr 15 - Mar 16","Offence rate per 1,000 population Apr 16 - Mar 17","Offence rate per 1,000 population Apr 17 - Mar 18","Offence rate per 1,000 population Apr 18 - Mar 19","Offence rate per 1,000 population Apr 19 - Mar 20","Offence rate per 1,000 population Apr 20 - Mar 21"
Total recorded crime,E08000024,Sunderland,Northumbria,9.9,12,15.5,15.9,14.8,14.8,70,90,117,119,113,99
Total recorded crime,E07000170,Ashfield,Nottinghamshire,9.8,11.8,14.9,16.1,15.3,12.5,60,70,84,89,91,73
Total recorded crime,E07000171,Bassetlaw,Nottinghamshire,10.6,11.2,14,15.2,14.7,11.2,66,72,85,93,91,74
Total recorded crime,E07000174,Mansfield,Nottinghamshire,12.3,14.2,16.6,20.2,18.7,14.6,74,84,96,111,107,82
Total recorded crime,E07000175,Newark and Sherwood,Nottinghamshire,8.5,9.8,11.2,12.7,12.5,10.2,52,60,68,75,77,64
Total recorded crime,E06000018,Nottingham,Nottinghamshire,18.7,19.3,24.1,24.4,22.3,17,95,106,123,135,130,97
Total recorded crime,E22000366,South Nottinghamshire,Nottinghamshire,6.3,7.3,9.5,9.6,10.1,8.2,37,43,52,55,56,47
Total recorded crime,W06000013,Bridgend,South Wales,8.5,9.4,10,12.1,11.1,9.1,57,58,64,70,71,58
Total recorded crime,W06000015,Cardiff,South Wales,11.9,13.2,15.3,15.8,15.7,13.8,90,95,104,109,106,87
Total recorded crime,W14000023,Cwm Taf,South Wales,9.6,10.5,11.2,12.3,11.4,10.2,62,67,74,78,76,69
Total recorded crime,W06000012,Neath Port Talbot,South Wales,9.1,8.6,10.2,10.6,10.8,11,57,59,62,68,68,62
Total recorded crime,W06000011,Swansea,South Wales,9.7,9.9,12.5,13.8,12.9,11.3,68,70,79,82,83,71
Total recorded crime,W06000014,Vale of Glamorgan,South Wales,7.5,8.9,9.9,10,9.9,8.8,50,58,62,64,65,57
Total recorded crime,E08000016,Barnsley,South Yorkshire,10.9,12.7,16.9,16.5,17.6,16.3,66,82,100,100,101,91
Total recorded crime,E08000017,Doncaster,South Yorkshire,14.3,17,20.5,21.1,22.2,20.8,86,104,121,126,123,111
Total recorded crime,E08000018,Rotherham,South Yorkshire,13.1,16.3,18.3,19.4,18.9,15.9,74,84,98,101,100,85
Total recorded crime,E08000019,Sheffield,South Yorkshire,11.9,16,17.2,18.1,18.2,16.1,73,84,96,95,99,85
Total recorded crime,E07000192,Cannock Chase,Staffordshire,8.6,10.1,12,11.3,10.9,7.5,57,65,69,70,67,50
Total recorded crime,E07000193,East Staffordshire,Staffordshire,9.2,11.2,13.9,12.5,10.4,8.5,58,67,73,70,64,49
Total recorded crime,E07000194,Lichfield,Staffordshire,6.9,8.2,9.8,10.8,9.1,6.9,42,49,55,58,57,43
Total recorded crime,E07000195,Newcastle-under-Lyme,Staffordshire,10.7,12.3,12.1,12.1,10.9,8.5,58,68,67,67,67,49
Total recorded crime,E07000196,South Staffordshire,Staffordshire,6.8,8.2,9.4,8.7,7.9,7.1,40,46,52,50,47,41
Total recorded crime,E07000197,Stafford,Staffordshire,7.7,8.9,10.5,10.3,9.2,7.1,49,55,61,60,54,45
Total recorded crime,E07000198,Staffordshire Moorlands,Staffordshire,6.2,8.8,8.9,8.3,7.8,5.9,40,48,47,49,45,39
Total recorded crime,E06000021,Stoke-on-Trent,Staffordshire,17.2,18.6,22.3,21.6,19.1,15.3,97,107,118,121,110,90
Total recorded crime,E07000199,Tamworth,Staffordshire,9.8,11.9,12.2,11.8,10.7,9.9,64,76,75,74,70,58
Total recorded crime,E07000200,Babergh,Suffolk,1.7,6.5,9,9.3,9.5,8.4,7,46,52,55,56,50
Total recorded crime,E07000244,East Suffolk,Suffolk,2.1,8.2,10.4,10.7,11,10.3,8,53,64,61,63,57
Total recorded crime,E07000202,Ipswich,Suffolk,4.5,14.8,20.3,22.2,22.4,17.8,17,99,117,125,125,97
Total recorded crime,E07000203,Mid Suffolk,Suffolk,1.8,6.3,9,7.7,8.9,7.1,5,39,46,46,47,38
Total recorded crime,E07000245,West Suffolk,Suffolk,3.1,9.8,11.6,12.9,13.6,11.7,10,59,67,70,79,65
Total recorded crime,E22000373,Western Suffolk,Suffolk,:,:,:,:,:,:,:,:,:,:,:,:
Total recorded crime,E07000207,Elmbridge,Surrey,6.9,7.5,9.3,9.9,9.2,8,48,52,60,60,59,51
Total recorded crime,E07000208,Epsom and Ewell,Surrey,6.3,7.8,10.2,10,8.7,8.3,53,60,65,68,65,54
Total recorded crime,E07000209,Guildford,Surrey,7.7,8.9,10.3,10.6,10.4,8.8,56,60,66,68,68,57
Total recorded crime,E07000210,Mole Valley,Surrey,5.7,7.1,7.6,8.3,8.4,7.7,41,48,52,56,55,51
Total recorded crime,E07000211,Reigate and Banstead,Surrey,7,8.6,11,11.8,10.6,8.9,53,58,64,67,65,54
Total recorded crime,E07000212,Runnymede,Surrey,7.8,8.5,12.1,10.7,12.1,9.7,58,62,74,70,76,69
Total recorded crime,E07000213,Spelthorne,Surrey,7.9,9,11.2,11.6,11.7,11.4,60,65,74,79,78,71
Total recorded crime,E07000214,Surrey Heath,Surrey,6.6,6.3,8.3,9,9.8,8.7,44,46,53,61,59,52
Total recorded crime,E07000215,Tandridge,Surrey,6.6,7.8,9.9,10,9.3,7.3,60,58,65,65,66,53
Total recorded crime,E07000216,Waverley,Surrey,5.5,5.2,6.5,8,7.7,7.1,37,39,42,48,49,44
Total recorded crime,E07000217,Woking,Surrey,7.8,8.1,11.1,14.2,11.3,10.5,54,58,73,76,72,61
Total recorded crime,E07000223,Adur,Sussex,7.3,7.4,9.6,9.1,10.3,9.1,51,49,56,51,61,59
Total recorded crime,E07000224,Arun,Sussex,8.1,8.2,9.8,10.5,11.4,10,55,59,63,65,70,63
Total recorded crime,E06000043,Brighton and Hove,Sussex,12,13.7,14.4,15.3,16.8,14.2,84,90,90,93,100,84
Total recorded crime,E07000225,Chichester,Sussex,6,6,8.4,8.8,10.1,8.8,42,49,53,59,61,53
Total recorded crime,E07000226,Crawley,Sussex,11.5,13.1,15.3,17.8,18.6,14.8,86,96,104,111,114,87
Total recorded crime,E07000061,Eastbourne,Sussex,8.9,11,13.2,14.4,15.7,13.8,65,75,85,84,90,78
Total recorded crime,E07000062,Hastings,Sussex,14.1,15.2,17.9,18.2,19,15.8,87,97,100,102,109,92
Total recorded crime,E07000227,Horsham,Sussex,5.5,6.4,7.8,7,7.8,6.6,40,41,44,45,49,42
Total recorded crime,E07000063,Lewes,Sussex,6.3,7.2,8.3,9.3,10.3,8.6,43,47,49,53,57,48
Total recorded crime,E07000228,Mid Sussex,Sussex,4.6,5.8,7.1,7.4,7.6,6.5,36,41,45,45,48,41
Total recorded crime,E07000064,Rother,Sussex,6.9,7,9.9,9.6,10.6,8.5,44,47,53,55,64,53
Total recorded crime,E07000065,Wealden,Sussex,4.8,5.4,6.7,6.6,6.8,5.4,31,35,40,38,43,35
Total recorded crime,E07000229,Worthing,Sussex,8.4,9.1,11.5,12.3,13.3,10.6,61,64,72,75,83,70
Total recorded crime,E06000036,Bracknell Forest,Thames Valley,6.1,6.5,7.5,8.6,9.3,8,40,43,42,53,56,48
Total recorded crime,E06000060,Buckinghamshire,Thames Valley,6.8,7.5,8.6,9.2,9.3,8.7,47,49,54,58,59,55
Total recorded crime,E07000177,Cherwell,Thames Valley,8,9.3,10.8,10.8,11.2,10.5,57,66,71,68,72,64
Total recorded crime,E06000042,Milton Keynes,Thames Valley,9.7,10.3,11.9,13,14,13.1,72,74,80,90,99,81
Total recorded crime,E07000178,Oxford,Thames Valley,12.7,13.5,15.5,15.6,16.3,14.8,91,96,105,105,109,92
Total recorded crime,E06000038,Reading,Thames Valley,12.1,13.4,15.8,16.6,17.7,17.3,85,91,96,100,103,94
Total recorded crime,E06000039,Slough,Thames Valley,12.8,13.7,15.6,16.6,15.7,16.2,82,87,88,102,106,101
Total recorded crime,E07000179,South Oxfordshire,Thames Valley,5.7,5.1,7.6,7.3,8.3,7.7,37,39,45,46,51,47
Total recorded crime,E07000180,Vale of White Horse,Thames Valley,5.2,5.4,6.5,6.9,7.3,7.7,35,35,38,41,43,46
Total recorded crime,E06000037,West Berkshire,Thames Valley,6.2,6.8,7.6,7.8,8.5,7.8,48,51,52,57,58,48
Total recorded crime,E07000181,West Oxfordshire,Thames Valley,4.4,5,6.6,6.9,7.1,6.7,32,32,36,41,46,42
Total recorded crime,E06000040,Windsor and Maidenhead,Thames Valley,7.4,8.5,10.1,9.3,10.5,8.7,54,57,59,64,68,57
Total recorded crime,E06000041,Wokingham,Thames Valley,5,4.9,5.4,6.8,6.7,6.1,34,36,38,43,45,39
Total recorded crime,E07000218,North Warwickshire,Warwickshire,9.3,12.3,15,13.9,13.4,11.7,57,67,72,74,72,66
Total recorded crime,E07000219,Nuneaton and Bedworth,Warwickshire,12.6,14,16.2,16.1,16.7,14.4,72,84,89,92,90,77
Total recorded crime,E07000220,Rugby,Warwickshire,10,11.9,14.5,13.9,14.5,11.8,61,66,74,75,73,63
Total recorded crime,E22000359,South Warwickshire,Warwickshire,7.3,9.8,12.4,11.3,11.9,9.7,48,60,67,66,66,56
Total recorded crime,E06000019,"Herefordshire, County of",West Mercia,9.2,9.4,10.4,10.5,10.4,10.8,53,55,56,57,56,49
Total recorded crime,E22000368,North Worcestershire,West Mercia,10.4,12.7,13.9,13.1,13.5,11.4,63,70,75,74,74,60
Total recorded crime,E06000051,Shropshire,West Mercia,7.9,8.2,9.6,10.6,10,9.5,46,48,53,57,55,46
Total recorded crime,E22000332,South Worcester,West Mercia,10,12.1,12.2,12.8,12.7,11.4,60,70,68,70,70,59
Total recorded crime,E06000020,Telford and Wrekin,West Mercia,14.7,15.6,17.7,19.8,17.3,15.9,77,86,88,88,90,71
Total recorded crime,E08000025,Birmingham,West Midlands,14.7,17.1,21.3,23.9,23.7,24,72,81,90,99,101,105
Total recorded crime,E08000026,Coventry,West Midlands,12.1,13.3,16.5,18.3,17.4,17.5,64,67,73,79,78,81
Total recorded crime,E08000027,Dudley,West Midlands,9.6,11.1,12.9,15.4,14.8,14.1,54,59,67,74,73,73
Total recorded crime,E08000028,Sandwell,West Midlands,13.3,14.3,17.3,19.9,19.1,18.9,64,73,82,91,88,93
Total recorded crime,E08000029,Solihull,West Midlands,9.2,11.2,14.5,16,14.5,13.3,57,65,71,75,75,70
Total recorded crime,E08000030,Walsall,West Midlands,11.7,12.7,16.1,17.3,17.2,16.9,67,68,80,86,86,87
Total recorded crime,E08000031,Wolverhampton,West Midlands,12.9,14,16.9,19.4,19.1,20.1,69,74,83,98,95,101
Total recorded crime,E08000032,Bradford,West Yorkshire,17.5,20.2,25.1,26.6,24,21.4,97,113,130,142,136,121
Total recorded crime,E08000033,Calderdale,West Yorkshire,12.7,15.1,20.8,23.5,21.5,19.3,85,100,107,122,116,100
Total recorded crime,E08000034,Kirklees,West Yorkshire,12.6,14.9,17.8,19.6,18.6,15.8,73,87,95,105,106,90
Total recorded crime,E08000035,Leeds,West Yorkshire,16.1,18.5,22.3,23.9,21.8,18.8,98,114,124,136,131,111
Total recorded crime,E08000036,Wakefield,West Yorkshire,12.1,12.7,16.4,19.2,18.5,16.1,82,96,108,123,119,104
Total recorded crime,E06000030,Swindon,Wiltshire,13,15.2,15,12.9,13.5,12,84,92,86,79,78,67
Total recorded crime,E06000054,Wiltshire,Wiltshire,6.2,6.6,8.8,8.7,8.1,7.4,41,44,50,52,53,43
Violence against the person,E06000022,Bath and North East Somerset,Avon and Somerset,2,2.1,2.4,2.4,2.6,2.2,14,17,20,20,20,18
Violence against the person,E06000023,"Bristol, City of",Avon and Somerset,4.4,4.7,4.8,4.8,4.9,4.2,27,33,33,34,35,33
Violence against the person,E06000024,North Somerset,Avon and Somerset,2.5,3,2.9,3,3.4,3.2,18,23,23,25,26,25
Violence against the person,E10000027,Somerset,Avon and Somerset,2.2,2.7,2.6,2.9,3,2.8,16,22,22,23,24,24
Violence against the person,E06000025,South Gloucestershire,Avon and Somerset,1.7,1.9,2,2,2.2,2.1,14,17,17,18,20,19
Violence against the person,E06000055,Bedford,Bedfordshire,2.5,2.8,3.4,4.3,3.6,3.4,18,17,21,26,27,28
Violence against the person,E06000056,Central Bedfordshire,Bedfordshire,1.6,1.5,1.8,1.9,2.1,2,11,11,13,16,19,17
Violence against the person,E06000032,Luton,Bedfordshire,3.7,3.9,4.2,4.5,4.8,4.5,22,21,24,29,32,32
Violence against the person,E07000008,Cambridge,Cambridgeshire,2.8,3.4,3.3,4.1,4.6,4,17,21,24,25,31,30
Violence against the person,E07000009,East Cambridgeshire,Cambridgeshire,1,1.3,1.5,1.6,1.9,2.7,7,9,10,12,14,19
Violence against the person,E07000010,Fenland,Cambridgeshire,2.7,3,3.3,3.5,3.3,3.8,15,17,22,22,25,28
Violence against the person,E07000011,Huntingdonshire,Cambridgeshire,1.8,2.1,2.1,2.1,2.7,3,10,12,15,15,18,21
Violence against the person,E06000031,Peterborough,Cambridgeshire,4.1,4.8,4.9,5,5.9,5.7,21,27,31,30,36,38
Violence against the person,E07000012,South Cambridgeshire,Cambridgeshire,1,1.2,1.2,1.7,1.7,1.7,7,10,12,12,14,15
Violence against the person,E06000049,Cheshire East,Cheshire,1.7,2.1,2.8,3.3,3.4,3.7,12,15,23,29,32,32
Violence against the person,E06000050,Cheshire West and Chester,Cheshire,2,2.6,3.2,3.5,3.7,3.8,13,18,25,30,33,34
Violence against the person,E06000006,Halton,Cheshire,3,3.5,4.6,5.3,5.4,5.4,17,23,34,45,48,48
Violence against the person,E06000007,Warrington,Cheshire,2.1,2.5,3.3,3.8,4.3,4.4,14,18,26,31,37,37
Violence against the person,E09000001,City of London,City of London, : , : , : , : , : , : , : , : , : , : , : , : 
Violence against the person,E06000001,Hartlepool,Cleveland,2.8,3.1,3.4,4,4.5,5.4,20,23,26,39,44,44
Violence against the person,E06000002,Middlesbrough,Cleveland,3.6,4,4.4,5.4,6.1,7.1,28,32,35,51,55,56
Violence against the person,E06000003,Redcar and Cleveland,Cleveland,2.3,2.1,2.6,3.4,3.4,4,16,17,19,31,33,35
Violence against the person,E06000004,Stockton-on-Tees,Cleveland,2.2,2.5,2.9,4,3.8,4.3,16,20,22,35,36,38
Violence against the person,E07000026,Allerdale,Cumbria,2,2.3,2.4,3.7,3.7,3.2,13,15,17,28,31,26
Violence against the person,E07000027,Barrow-in-Furness,Cumbria,2.8,3.4,4.5,5.7,5.5,5.5,21,22,28,42,44,39
Violence against the person,E07000028,Carlisle,Cumbria,2.6,2.4,3.3,4.6,4.9,5,19,18,24,35,42,35
Violence against the person,E07000029,Copeland,Cumbria,2,2.3,2.4,3.9,3.7,3.5,16,14,18,30,32,26
Violence against the person,E07000030,Eden,Cumbria,1,1.1,1.4,2.1,2,1.8,8,8,10,17,19,18
Violence against the person,E07000031,South Lakeland,Cumbria,1.6,1.2,1.8,2.4,2.8,2,11,9,12,18,21,17
Violence against the person,E07000032,Amber Valley,Derbyshire,2.7,2.2,2.4,3.5,4.4,3.7,10,9,9,15,26,25
Violence against the person,E07000033,Bolsover,Derbyshire,2.7,2.2,2.6,4,4.4,3.8,11,9,10,16,28,27
Violence against the person,E07000034,Chesterfield,Derbyshire,3.1,3,3.8,4.5,5.5,4.8,13,13,13,19,34,33
Violence against the person,E06000015,Derby,Derbyshire,4.3,4.6,5.1,6.1,7.8,6.3,19,19,20,26,43,42
Violence against the person,E07000035,Derbyshire Dales,Derbyshire,1.1,1.4,1.5,2.1,2.7,2.7,7,7,6,9,16,16
Violence against the person,E07000036,Erewash,Derbyshire,2.6,2.5,3,3.9,4.4,3.6,12,12,12,17,27,26
Violence against the person,E07000037,High Peak,Derbyshire,1.8,1.8,2.1,2.7,3.3,3.4,10,10,9,12,22,23
Violence against the person,E07000038,North East Derbyshire,Derbyshire,1.3,1.6,1.9,2.2,3.2,3.1,6,7,7,11,21,23
Violence against the person,E07000039,South Derbyshire,Derbyshire,1.7,1.9,2.5,2.9,3.4,3.1,8,9,10,13,21,22
Violence against the person,E06000052,Cornwall,Devon and Cornwall,2.2,2.4,2.8,3.2,3.3,3.1,12,13,18,20,21,21
Violence against the person,E22000362,East and Mid Devon,Devon and Cornwall,1.4,1.5,1.7,2.2,2,1.9,9,10,14,16,17,15
Violence against the person,E07000041,Exeter,Devon and Cornwall,2.7,3.1,3.5,4.4,4.2,3.7,17,20,27,29,28,25
Violence against the person,E06000053,Isles of Scilly,Devon and Cornwall,1.6,0.7,1.2,1.2,1,0.3,10,9,12,13,9,2
Violence against the person,E07000043,North Devon,Devon and Cornwall,2.3,2,2.4,2.8,2.9,2.6,14,14,18,20,20,19
Violence against the person,E06000026,Plymouth,Devon and Cornwall,4,3.9,5,6.1,5.9,5.6,22,25,33,37,36,36
Violence against the person,E22000364,South Devon and Dartmoor,Devon and Cornwall,1.5,1.6,2,2.1,2,2.1,9,10,15,17,16,16
Violence against the person,E06000027,Torbay,Devon and Cornwall,3.8,3.8,4.6,5.1,5,4.5,22,25,34,37,35,33
Violence against the person,E06000028,Bournemouth,Dorset,:,:,:,:,:,:,:,:,:,:,:,:
Violence against the person,E06000058,"Bournemouth, Christchurch and Poole",Dorset,2.1,2.6,2.9,3.7,3.7,3.7,16,20,23,29,30,29
Violence against the person,E06000059,Dorset,Dorset,1.5,1.7,2.2,2.5,2.4,2.1,12,14,16,20,20,18
Violence against the person,E22000367,Dorset (inc. Christchurch),Dorset,:,:,:,:,:,:,:,:,:,:,:,:
Violence against the person,E06000029,Poole,Dorset,:,:,:,:,:,:,:,:,:,:,:,:
Violence against the person,E06000047,County Durham,Durham,2.1,2.8,3.8,3.9,3.9,3.8,15,23,33,39,40,38
Violence against the person,E06000005,Darlington,Durham,2.4,3.2,3.8,4.1,4.8,4.1,18,28,39,43,50,41
Violence against the person,W06000010,Carmarthenshire,Dyfed-Powys,2,2.4,3,3.2,3.6,3.8,12,14,19,24,27,31
Violence against the person,W06000008,Ceredigion,Dyfed-Powys,2.5,3,2.9,2.9,3.3,3.1,15,20,20,23,27,26
Violence against the person,W06000009,Pembrokeshire,Dyfed-Powys,2.2,2.5,2.8,3.1,3.4,3.9,12,14,19,25,32,34
Violence against the person,W06000023,Powys,Dyfed-Powys,1.7,2.2,2.6,2.6,3,3,11,14,16,19,22,24
Violence against the person,E07000066,Basildon,Essex,3.5,3.2,4.1,4.6,4.9,5.4,19,22,26,35,40,42
Violence against the person,E07000067,Braintree,Essex,1.8,1.8,2.3,2.9,3.1,3.3,13,14,18,26,29,30
Violence against the person,E07000068,Brentwood,Essex,1.6,2.4,2.6,2.7,2.8,3,10,14,16,23,25,24
Violence against the person,E07000069,Castle Point,Essex,1.9,2.3,2.6,3.5,3.3,3.3,12,15,18,26,27,27
Violence against the person,E07000070,Chelmsford,Essex,2.6,2.7,3.6,4.1,4.4,4.2,15,18,22,30,35,33
Violence against the person,E07000071,Colchester,Essex,3,2.9,4.1,4.6,4.7,4.6,20,23,28,37,40,38
Violence against the person,E07000072,Epping Forest,Essex,2.4,2.4,3.4,3.5,4,3.9,14,16,19,25,29,29
Violence against the person,E07000073,Harlow,Essex,3.8,4,4.5,5.3,6.7,5.9,22,24,27,42,48,49
Violence against the person,E07000074,Maldon,Essex,2.1,1.7,2.2,2.2,3.1,2.6,11,12,14,21,25,26
Violence against the person,E07000075,Rochford,Essex,1.4,1.6,2,2.4,2.5,2.4,10,11,14,20,22,21
Violence against the person,E06000033,Southend-on-Sea,Essex,4,3.8,4.5,5.6,6.3,6.1,23,24,30,42,48,45
Violence against the person,E07000076,Tendring,Essex,3.8,3.9,4.7,5.2,5.5,5.9,22,26,30,40,43,44
Violence against the person,E06000034,Thurrock,Essex,2.9,3,4.1,4.4,6.6,4.7,19,20,23,33,38,36
Violence against the person,E07000077,Uttlesford,Essex,1.3,1.2,1.7,2.1,2.2,2.2,8,10,12,18,20,21
Violence against the person,E07000078,Cheltenham,Gloucestershire,2.7,3.1,3.7,3.6,4,3.7,12,13,17,18,25,22
Violence against the person,E07000079,Cotswold,Gloucestershire,1.1,1.2,1.3,1.4,2.2,1.9,6,6,7,9,13,13
Violence against the person,E07000080,Forest of Dean,Gloucestershire,1.3,1.8,2.3,2.2,2.7,2.7,7,9,12,12,18,18
Violence against the person,E07000081,Gloucester,Gloucestershire,4.2,4.6,5.2,5.5,6.3,5.6,18,18,23,27,38,35
Violence against the person,E07000082,Stroud,Gloucestershire,1.7,1.7,1.9,1.9,2.6,2.5,8,8,10,11,17,17
Violence against the person,E07000083,Tewkesbury,Gloucestershire,1.4,1.7,1.9,1.9,1.9,2.2,6,8,9,11,14,13
Violence against the person,E08000001,Bolton,Greater Manchester,3.4,4.1,5.8,5.9,:,:,20,24,36,38.6,:,:
Violence against the person,E08000002,Bury,Greater Manchester,2.9,3.8,4.9,5.2,:,:,15,23,30,31.5,:,:
Violence against the person,E08000003,Manchester,Greater Manchester,5.8,6.4,12.4,8.2,:,:,25,33,47,43.8,:,:
Violence against the person,E08000004,Oldham,Greater Manchester,4.3,4.5,5.9,5.8,:,:,22,27,37,39.9,:,:
Violence against the person,E08000005,Rochdale,Greater Manchester,4.4,5,5.7,6.2,:,:,22,30,37,37.9,:,:
Violence against the person,E08000006,Salford,Greater Manchester,3.3,3.7,5.8,6.7,:,:,15,20,34,41,:,:
Violence against the person,E08000007,Stockport,Greater Manchester,2.6,2.8,3.4,3.5,:,:,14,17,22,21.3,:,:
Violence against the person,E08000008,Tameside,Greater Manchester,3,4.2,5.2,6.9,:,:,19,27,34,39.1,:,:
Violence against the person,E08000009,Trafford,Greater Manchester,1.9,2.2,2.9,3.6,:,:,12,16,22,23.4,:,:
Violence against the person,E08000010,Wigan,Greater Manchester,3,3.6,4,4.3,:,:,16,20,26,27.3,:,:
Violence against the person,W06000019,Blaenau Gwent,Gwent,3.4,3.3,5,5.7,5.3,5,18,21,28,36,35,35
Violence against the person,W06000018,Caerphilly,Gwent,2.8,3,3.5,4.8,4.8,4.3,17,19,24,32,33,31
Violence against the person,W06000021,Monmouthshire,Gwent,1.6,1.7,2.2,2.8,2.9,2.4,12,12,14,20,21,19
Violence against the person,W06000022,Newport,Gwent,3.5,4.2,5.2,7.4,7.4,6,21,26,31,42,41,37
Violence against the person,W06000020,Torfaen,Gwent,3.2,2.8,3.7,6.1,5.2,4.1,17,21,28,36,37,30
Violence against the person,E07000085,East Hampshire,Hampshire,1.7,1.5,1.8,2.2,2,2,13,12,16,17,17,17
Violence against the person,E07000086,Eastleigh,Hampshire,1.9,2.1,2.8,2.6,2.7,2.4,16,17,21,21,25,21
Violence against the person,E07000087,Fareham,Hampshire,1.7,1.9,2.3,2.3,2.2,2.2,14,16,18,19,20,19
Violence against the person,E07000088,Gosport,Hampshire,3.1,3.6,3.8,3.8,4.1,3.5,25,26,29,30,31,29
Violence against the person,E07000090,Havant,Hampshire,3.1,3.3,4,4.1,4,3.6,25,26,31,34,33,31
Violence against the person,E06000046,Isle of Wight,Hampshire,3.3,3.3,3.9,4.2,4,3.9,24,24,29,31,32,31
Violence against the person,E07000091,New Forest,Hampshire,1.7,2,2.3,2.6,2.6,2.2,14,16,18,19,21,21
Violence against the person,E22000374,North Hampshire,Hampshire,2.5,2.7,3.1,3.4,3.3,3.1,19,19,23,25,25,23
Violence against the person,E06000044,Portsmouth,Hampshire,4.9,5.4,6.8,6.6,6.7,5.5,35,37,43,45,47,43
Violence against the person,E06000045,Southampton,Hampshire,4.7,5.2,6.4,6.2,6.3,6.1,34,35,41,43,46,44
Violence against the person,E07000093,Test Valley,Hampshire,2.1,2.3,2.4,2.8,2.8,2.5,17,16,20,22,23,20
Violence against the person,E07000094,Winchester,Hampshire,2,2.2,2.3,2.5,2.6,2.1,15,16,18,18,21,19
Violence against the person,E07000095,Broxbourne,Hertfordshire,2.6,2.6,2.8,3.4,3,3.2,17,19,21,24,25,25
Violence against the person,E07000096,Dacorum,Hertfordshire,1.8,2.2,2.8,2.9,2.7,2.5,13,16,19,21,21,20
Violence against the person,E07000242,East Hertfordshire,Hertfordshire,1.4,1.7,1.9,2.3,2.3,2,11,13,14,17,17,17
Violence against the person,E07000098,Hertsmere,Hertfordshire,1.6,2.2,2.4,2.4,2.5,2.6,13,18,19,20,22,22
Violence against the person,E07000099,North Hertfordshire,Hertfordshire,1.6,2,2.3,2.4,2.4,2,12,13,16,19,20,17
Violence against the person,E07000240,St Albans,Hertfordshire,1.5,1.7,2,2.1,2.4,1.9,11,15,17,18,18,17
Violence against the person,E07000243,Stevenage,Hertfordshire,3.1,4.2,4.1,4.2,4.4,3.9,22,29,32,35,35,34
Violence against the person,E07000102,Three Rivers,Hertfordshire,1.3,1.5,1.5,2,1.9,2.1,10,11,14,15,16,17
Violence against the person,E07000103,Watford,Hertfordshire,2.8,3,3.7,4.1,3.9,3.6,21,23,28,29,29,27
Violence against the person,E07000241,Welwyn Hatfield,Hertfordshire,1.9,2.7,3,3.2,3.1,3.1,16,20,22,24,24,25
Violence against the person,E06000011,East Riding of Yorkshire,Humberside,1.6,2.1,2.8,3,3.1,2.7,10,14,16,22,22,20
Violence against the person,E06000010,"Kingston upon Hull, City of",Humberside,4.9,5.9,6.8,8,8.2,8,25,34,39,55,55,54
Violence against the person,E06000012,North East Lincolnshire,Humberside,5,5.5,6.2,7,7.1,6.8,25,31,33,46,45,44
Violence against the person,E06000013,North Lincolnshire,Humberside,3,3.4,3.7,4.7,4.6,4.5,15,20,22,31,31,30
Violence against the person,E07000105,Ashford,Kent,2.4,2.7,3.6,4.6,4.1,4.5,15,19,32,38,35,34
